position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
LLM应用开发-全栈开发工程师（联合创始人）（居家办公）,上海套肯人工智能科技有限责任公司,1.8万-3.5万,上海,1-3年,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40726694405.htm,职位：LLM应用开发-全栈开发工程师（联合创始人）（居家办公）职位描述我们正处于人工智能快速发展的时代，相信在未来4年内将实现AGI（通用人工智能），并在十年内达成Superintelligence（超人工智能）的突破。我们的创业公司正专注于Superintelligence领域，现计划实现一项创新产品：让用户能与网页（包括视频）进行交互。我们诚邀您加入创业团队的核心管理与技术队伍（联合创始人），...,股票期权,
Marketing Campaign Leader (Performance Media) ID173778,宜家（中国）投资有限公司,面议,上海,经验不限,学历不限,10000人以上,外商独资,零售/批发,http://www.zhaopin.com/jobdetail/CC145779880J40641919403.htm,WHAT YOU'LL NEED TO HAVE• Broad knowledge of project management• Broad knowledge of coordinating people within different disciplines to deliver to common goals and objectives• Broad knowledge of IKEA ...,,
sem,丽世(上海)遮阳技术有限公司,1.5万-3万,上海,3-5年,本科,100-299人,民营,汽车零部件,http://www.zhaopin.com/jobdetail/CC844877800J40653092613.htm,"岗位职责：1：负责公司在海外Facebook, Google, Twitter，Tiktok等广告平台投放操作及优化，熟悉平台机制；2：根据产品特点，针对目标市场环境与竞品市场定位及用户受众，明确项目市场宣传方向；3：进行广告账户数据分析，数据导向，提升投放精准性、有效性，控制性价比；并对网站广告投放CPC，CTR，注册成本，投入产出比等各项业务KPI负责；4：负责推广素材创意并协调素材制作，定期...",,13薪
LLM基模型训练工程师,浪潮集团,2.8万-5.5万,上海,3-5年,硕士,10000人以上,国企,IT服务,http://www.zhaopin.com/jobdetail/CC120143600J40785256715.htm,岗位职责：1. 负责算法设计，参数调优，预训练模型构建等相关工作，负责单轮，多轮对话模型的构建工作；2. 负责大规模文本数据处理，包括文本预处理、过滤、语义分析、标签构建等相关工作，少部分工作会用到实体识别，关键词抽取等处理。3. 负责NLP技术结合业务场景落地，针对不同场景，设计对新模型的实验方法，并评估其结果，提出实验过程中的效果评估指标。4. 总结提炼数据与业务的关系，能够及时发现业务数据波...,,
LLM算法实习生 (MJ003648),长春金赛药业有限责任公司,200-250/天,上海,无经验,学历不限,1000-9999人,上市公司,医药制造,http://www.zhaopin.com/jobdetail/CC000320460J40608303716.htm,职责描述：1.参与LLM信息抽取项目的需求分析，提供技术解决方案；参与LLM相关算法的研究、设计与开发。2.对文献数据进行分析和处理，包括但不限于文本分类、ner、信息抽取等。3.负责算法文档、开发文档撰写与维护4.跟踪和研究前沿的LLM处理技术，提出创新性的算法思路。任职要求：1. LLM、nlp、计算机等相关专业，硕士或博士在读。2. 具有扎实的数学和编程基础，熟悉 Python/C++等编程...,,
sem运营主管,上海美莱医疗美容门诊部有限公司,1.5万-2.2万,上海,5-10年,大专,1000-9999人,民营,卫生服务,http://www.zhaopin.com/jobdetail/CC695627720J40615062911.htm,岗位职责1、熟练掌握 SEM（搜索引擎营销）和信息流等广告优化投放，有管理经验优先；2、参与制定所负责项目的推广策略和投放计划，做好日监控执行；3、根据业务需求和市场变动针对不同业务不同节点优化账户关键词、创意、落地页，有效控制推广成本；4、监测和分析投放数据转化，及时调整推广策略，确保合理ROI。5、与产品研发团队紧密配合，根据产品特点和目标用户制定个性化投放方案。6、有一定数据分析能力，能对前...,,
媒介经理（上海）,欣和企业,1.5万-2.5万,上海,5-10年,大专,1000-9999人,外商独资,快速消费品,http://www.zhaopin.com/jobdetail/CC268650920J40654812210.htm,岗位职责：1、了解媒体发展趋势，有食品\快消品行业媒介策略、渠道投放的实战经验，可根据品牌/产品各业务发展阶段及推广诉求，建立行之有效的媒介策略并持续迭代，确保广告投放与市场活动紧密结合，形成有效的品牌传播。2、对数据具有极高敏感性及分析洞察能力，能够通过数据分析得出有效的优化投放方式，提高广告投放的ROI。3、监督协助媒体/代理商完成预算分配、素材制作、投放、A/B测试;持续监测及分析投放结果与...,,13薪
LLM算法工程师,浪潮集团,3万-6万,上海,3-5年,硕士,10000人以上,国企,IT服务,http://www.zhaopin.com/jobdetail/CC120143600J40789091415.htm,JD：岗位职责：1. 负责算法设计，参数调优，预训练模型构建等相关工作，负责单轮，多轮对话模型的构建工作；2. 负责大规模文本数据处理，包括文本预处理、过滤、语义分析、标签构建等相关工作，少部分工作会用到实体识别，关键词抽取等处理。3. 负责NLP技术结合业务场景落地，针对不同场景，设计对新模型的实验方法，并评估其结果，提出实验过程中的效果评估指标。4. 总结提炼数据与业务的关系，能够及时发现业务...,,16薪
LLM 数据科学家实习生（居家办公）,上海套肯人工智能科技有限责任公司,150-300/天,上海,无经验,本科,20人以下,,人工智能,http://www.zhaopin.com/jobdetail/CCL1478181760J40633864305.htm,"职位描述职位名称:LLM 数据科学家实习生（居家办公） 职位描述：• 熟练掌握Pytorch, hugging face。• 熟练掌握常规LLM的openai key的应用，比如chatgpt。 • 了解LLM最近发展详情，比如OpenAI, Anthropic。 • 熟练使用Linux 和 Docker。 • 熟练掌握React技术栈。 • 熟练使用过chatgpt者优先。 • 能够使用英文进行...",,
AI产品经理,上海克而瑞信息技术有限公司,2.5万-3.5万,上海,3-5年,本科,1000-9999人,外商独资,互联网,http://www.zhaopin.com/jobdetail/CC867077430J40725377805.htm,岗位职责：1.负责AI产品的整体规划和设计，包括需求分析、产品定义、功能设计等。2.与技术团队紧密合作，推动AI产品的研发和落地，确保产品按时高质量上线。 3.深入理解业务需求，将业务问题转化为具体的AI建模问题，设计合理的解决方案。 4.跟踪和分析产品上线后的效果，持续优化产品性能和用户体验。 5.关注AI领域的***和趋势，探索新的应用场景和技术方案。6.与业务团队保持密切沟通，收集用户反馈，...,,
媒介经理,江西百巢品牌管理有限公司,3.5万-5万,上海,经验不限,学历不限,100-299人,民营,广告/营销,http://www.zhaopin.com/jobdetail/CCL1476219420J40681403411.htm,岗位职责：1. 承接品牌及产品营销策略，制定媒介传播策略和传播方案；2.对现有品牌有清晰的定位，围绕品牌核心竞争力制定相关活动策划及市场营销；3.对市场热点反应敏锐，制造热点营销，日常对接媒体平台，捕获媒体资源方案，策划营销事件，提升品牌曝光度，提升品牌形象；4.媒介环境及前瞻性趋势研究，为品牌及产品媒介传播提供有效建议及媒介创意；5. 管控及考核媒介代理公司，对媒介投放效果负责；6. 联络KOC...,,
LLM基模型训练班组长,青岛基业百年人力资源有限公司,4万-6万,上海,5-10年,硕士,20-99人,民营,咨询服务,http://www.zhaopin.com/jobdetail/CC137020580J40682681812.htm,岗位职责:1.负责算法设计，参数调优，预训练模型构建等相关工作，负责单轮，多轮对话模型的构建工作;2.负责大规模文本数据处理，包括文本预处理、过滤、语义分析、标签构建等相关工作，少部分工作会用到实体识别，关键词抽取等处理。3.负责NLP技术结合业务场景落地，针对不同场景，设计对新模型的实验方法，并评估其结果，提出实验过程中的效果评估指标。4.总结提炼数据与业务的关系，能够及时发现业务数据波动，并给...,,
LLM算法工程师,上海硼矩新材料科技有限公司,1万-2万,上海,1-3年,本科,20-99人,民营,化工,http://www.zhaopin.com/jobdetail/CCL1325110020J40621560406.htm,岗位职责：1. 负责RAG模型相关研发工作，聚焦垂直领域大模型研究与应用，优化RAG各模块功能，寻找最佳实践2. 对多源数据进行预处理和清洗，构建私有数据库，提升文件的非/结构化解析能力3. 通过重排序、检索增强等方法，提升问答结果准确性和丰富度4. 设计实施大模型评估框架，对模型性能进行检测任职要求：1. 计算机、人工智能、软件工程等相关专业本科及以上学历，1~3年及以上实际项目开发经验2. 熟...,,
AI产品架构师,金桥信息,2.5万-3万,上海,3-5年,本科,500-999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC120347960J40677255911.htm,工作职责1. 参与AI业务产品平台的搭建，并负责技术框架的规划和架构设计，并推动相关组件选型、模块分解以及系统落地；2. 深入了解业界AI平台的发展趋势，应用AI和大模型技术，保证平台技术架构的先进性和前瞻性；3. 完成技术文档撰写、开发、Code Review等相关技术工作，并解决过程中的核心技术问题，严格保证系统的交付质量。任职要求1. 本科及以上学历，计算机相关专业，5年以上开发经验、3年以...,,
gtm专员（产品经理）,外企德科数字技术有限公司,1万-1.8万,上海,经验不限,大专,10000人以上,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1480117890J40722380305.htm,协助支撑产品操盘相关工作，包含市场洞察、策略输出及落地跟进、数据报表输出和分析等，具体职责如下：1、开展例行市场洞察支持，例行收集、反馈、分析市场竞品动态及大盘走势，在指导下完成分析报告的输出；2、协助参与操盘日报/周报/月报/大促节点看板的制定，例行刷新数据并汇总输出，及时反馈市场境况为操盘决策提供支持；3、负责行业线例会/部门例会/其他相关会议的会议支撑，包含会议预定、会议通知、会议材料汇总整...,,
LLM基模型训练工程师,浪潮集团,2.5万-5万,上海,5-10年,硕士,10000人以上,国企,IT服务,http://www.zhaopin.com/jobdetail/CC120143600J40788569515.htm,岗位职责：1. 负责算法设计，参数调优，预训练模型构建等相关工作，负责单轮，多轮对话模型的构建工作；2. 负责大规模文本数据处理，包括文本预处理、过滤、语义分析、标签构建等相关工作，少部分工作会用到实体识别，关键词抽取等处理。3. 负责NLP技术结合业务场景落地，针对不同场景，设计对新模型的实验方法，并评估其结果，提出实验过程中的效果评估指标。4. 总结提炼数据与业务的关系，能够及时发现业务数据波...,,
谷歌广告投放,世纪开元智印互联科技集团股份有限公司,2万-3万,上海,3-5年,本科,1000-9999人,股份制企业,互联网,http://www.zhaopin.com/jobdetail/CC120790970J40604924506.htm,职位描述：1、针对公司独立站，负责公司产品在Google、Facebook等其他广告平台上进行广告投放，包括制定投放方案、预算和日常账户管理等；2、适配不同海外国家特点，与UI、开发人员和产品经理协作设计高效的广告创意和推广文案；3、监控广告投放效果及广告创意表现相关数据，根据营销诉求对不同渠道进行针对性的数据分析、总结并提出改进策略，持续优化广告效果；4、了解海外媒体广告产品动态及应用情况，契合...,,14薪
GTM-产品,外企德科数字技术有限公司,1.2万-2.3万,上海,1-3年,大专,10000人以上,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1480117890J40724689505.htm,协助支撑产品操盘相关工作，包含市场洞察、策略输出及落地跟进、数据报表输出和分析等，具体职责如下：1、开展例行市场洞察支持，例行收集、反馈、分析市场竞品动态及大盘走势，在指导下完成分析报告的输出；2、协助参与操盘日报/周报/月报/大促节点看板的制定，例行刷新数据并汇总输出，及时反馈市场境况为操盘决策提供支持；3、负责行业线例会/部门例会/其他相关会议的会议支撑，包含会议预定、会议通知、会议材料汇总整...,,
谷歌seo运营,丽世(上海)遮阳技术有限公司,1.2万-1.5万,上海,3-5年,本科,100-299人,民营,汽车零部件,http://www.zhaopin.com/jobdetail/CC844877800J40589542713.htm,"岗位职责：1、. 熟悉Google、Bing等搜索引擎的原理，有清晰完整的Google SEO(SEM) 优化逻辑和认知 熟悉排名规则；2、能熟练应用开源CMS(wordpress, dedeCMS等) 快速建站；3、对独立站运营工作从建站到询盘过程有系统性认知和实操经验；4、网站制作：管控页面设计，网站代码结构清晰简洁，兼容IE，Chrome等常见的浏览器。提升网站的PV，UV量，控制跳出率，提...",,13薪
投放组经理,欣和企业,1.5万-2万,上海,3-5年,本科,1000-9999人,外商独资,快速消费品,http://www.zhaopin.com/jobdetail/CC268650920J40696019710.htm,岗位职责：1、负责管理和统筹兴趣电商平台投放分析工作。（包括抖音、小红书、快手）并通过罗盘策略、云图等数据进行店铺人群运营，推广，和洞察。2、短视频投放：负责公司品牌在抖音平台的挂车短视频的投放策略，定制短视频投放计划，推广预算与成本把控。3、直播间投放：直播间板块投放工作，检测直播效果，优化投放策略，提高投放效率。4、数据分析与总结：监控分析投放效果，结合数据对广告投放策略进行调整，对站内投放具...,,
霸王茶姬-营运支持（供应链方向）-上海(A179194),四川茶姬企业管理有限公司,1.5万-3万,上海,5-10年,学历不限,10000人以上,民营,餐饮服务,http://www.zhaopin.com/jobdetail/CCL1390906120J40686022410.htm,"职位描述： 1、根据门店端产生的供应链问题，提供相应解决思路和处理流程，并沟通及协同规范集团相关对接部门，出具可落地可执行可复制的解决方案，从根源解决门店问题，提升门店满意度； 2、应运营和门店实际需求、数据异常分析，通过各种方式，协同各部门共同优化对应项目内容，达成优化的项目PM,为门店做到降本增效 ； 3、制定并落地中心对接机制，推动门店端问题有效解决。 4、完善门店库存管理体系，确保原材料和...",,
动漫供应链生产专员/主管,北京中信书店有限责任公司,1万-2万,上海,3-5年,本科,500-999人,国企,零售/批发,http://www.zhaopin.com/jobdetail/CC419477310J40714870905.htm,一、劳动用工标准1.用工性质：中信书店本部正式编制；2.合同期：首次合同3年以上；3.试用期：6个月。入职1-3个月按合同工资标准的80%发放，入职第4个月起按合同工资的100%发放。二、福利待遇1.六险二金（保险实缴、公积金12%、补充医疗、企业年金）及其他商业保险、年度体检；2.工会福利：年节日、员工生日，全年福利合计不低于2400元；3.员工茶歇120元/月；4.其他福利。三、薪酬范围：1、...,"正式编制,六险二金,补充医疗保险,企业年金,体检福利,绩效奖金,有餐补",
媒介总监,江西百巢品牌管理有限公司,2万-3万,上海,5-10年,本科,100-299人,民营,广告/营销,http://www.zhaopin.com/jobdetail/CCL1476219420J40638950411.htm,岗位职责1. 根据客户需求制订传播策略和传播执行方案，并能够独立带领团队完成客户对接、项目运营、项目总结等工作2. 制订传播成本预算，保质保量的完成传播任务，控制传播成本3. 按照确定的传播计划和预算，带领团队，及时准确的完成传播任务4.根据行业动态、热点，结合自身产品特性，系统规划各类媒体稿件、专访、专题合作等内容发布并执行；5.负责行业深度观察及高品质品牌传播文章策划与撰写6.负责各类创意传播...,,
GTM-产品,外企德科数字技术有限公司,1.1万-1.8万,上海,3-5年,大专,10000人以上,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1480117890J40724537505.htm,协助支撑产品操盘相关工作，包含市场洞察、策略输出及落地跟进、数据报表输出和分析等，具体职责如下：1、开展例行市场洞察支持，例行收集、反馈、分析市场竞品动态及大盘走势，在指导下完成分析报告的输出；2、协助参与操盘日报/周报/月报/大促节点看板的制定，例行刷新数据并汇总输出，及时反馈市场境况为操盘决策提供支持；3、负责行业线例会/部门例会/其他相关会议的会议支撑，包含会议预定、会议通知、会议材料汇总整...,,
投放组经理,欣和企业,1.5万-2万,上海,3-5年,本科,1000-9999人,外商独资,快速消费品,http://www.zhaopin.com/jobdetail/CC268650920J40696019710.htm,岗位职责：1、负责管理和统筹兴趣电商平台投放分析工作。（包括抖音、小红书、快手）并通过罗盘策略、云图等数据进行店铺人群运营，推广，和洞察。2、短视频投放：负责公司品牌在抖音平台的挂车短视频的投放策略，定制短视频投放计划，推广预算与成本把控。3、直播间投放：直播间板块投放工作，检测直播效果，优化投放策略，提高投放效率。4、数据分析与总结：监控分析投放效果，结合数据对广告投放策略进行调整，对站内投放具...,,
500强外企-Supply Planner,上海东浩人力资源有限公司,1.5万-2万,上海,5-10年,本科,100-299人,国企,咨询服务,http://www.zhaopin.com/jobdetail/CC382087910J40707323907.htm,工作内容：1.供应计划相关： a. 运行议员/组成 b. 发放订单/跟进订单/重新安排订单 c. 管理系统参数的更新和检查 d. 上传预测2.支持样品订单的发放。3.跟踪和发布供应链KPI。4.支持新的SKU创建活动。任职要求：1.本科及以上毕业，供应链/物流/商业等相关专业优先；2.具备5-8年供应链相关工作经验，具有医疗保健行业经验者优先；3.良好的英语听说读写能力，可作为工作语言；4.具有良...,,
